100castles,城名,都道府県,市区町村,緯度,経度,入場料（大人）,共通券内観光スポット1,共通券料金1,共通券内観光スポット2,共通券料金2,参考HP,イラストURL,アイコンURL,写真URL
77,高松城,香川県,高松市,34.3554467,134.0474817,200,,,,,http://www.takamatsujyo.com/,,,
78,丸亀城,香川県,丸亀市,34.2859572,133.7980924,200,,,,,http://www.marugame-castle.jp/,,,
79,今治城,愛媛県,今治市,34.064502,133.0059763,500,,,,,http://museum.city.imabari.ehime.jp/imabarijo/,,,
80,湯築城,愛媛県,松山市,33.8484885,132.7839616,0,,,,,http://www.dogokouen.jp/yuzukijoato/history.html,,,
81,松山城,愛媛県,松山市,33.8455768,132.7633459,510,,,,,http://www.matsuyamajo.jp/,,,
82,大洲城,愛媛県,大洲市,33.509524,132.5389233,500,,,,,http://www.ozucastle.jp/index.html,,,
83,宇和島城,愛媛県,宇和島市,33.219449,132.5630103,200,,,,,http://www.city.uwajima.ehime.jp/site/uwajima-jo/,,,
84,高知城,高知県,高知市,33.5607925,133.5293004,420,,,,,http://kochipark.jp/kochijyo/,,,
85,福岡城,福岡県,福岡市,33.592764,130.3806112,0,,,,,http://fukuokajyo.com/,,,
86,大野城,福岡県,大野城市,33.5398007,130.5221919,0,,,,,http://www.town.umi.lg.jp/site/oonojo/,,,
87,名護屋城,佐賀県,唐津市,33.529083,129.8675613,0,,,,,http://saga-museum.jp/nagoya/,,,
88,吉野ヶ里遺跡,佐賀県,吉野ヶ里町,33.3242445,130.3844096,420,,,,,http://www.yoshinogari.jp/,,,
89,佐賀城,佐賀県,佐賀市,33.2451406,130.3002167,0,,,,,http://saga-museum.jp/sagajou/,,,
90,平戸城,長崎県,平戸市,33.3685375,129.5569425,510,,,,,http://www.hira-shin.jp/hirado-castle/,,,
91,島原城,長崎県,島原市,32.7892192,130.3650807,540,,,,,http://shimabarajou.com/,,,
92,熊本城,熊本県,熊本市,32.8061859,130.7036448,500,,,,,http://kumamoto-guide.jp/kumamoto-castle/,https://code4sabae.github.io/shirostamp100/img/kankou_kumamotojou.png,https://code4sabae.github.io/shirostamp100/icon/kankou_kumamotojou.png,https://code4sabae.github.io/shirostamp100/photo/kumamotojo.jpg
93,人吉城,熊本県,人吉市,32.2108918,130.7597978,200,,,,,http://www.city.hitoyoshi.lg.jp/q/aview/95/249.html,,,https://code4sabae.github.io/shirostamp100/photo/hitoyoshijo.jpg
94,大分府内城,大分県,大分市,33.2398952,131.6097883,0,,,,,http://www.city.oita.oita.jp/www/contents/1352943146749/index.html,,,
95,岡城,大分県,竹田市,32.9691026,131.405579,300,,,,,https://www.city.taketa.oita.jp/okajou/,,,
96,飫肥城,宮崎県,日南市,31.6291057,131.3481154,200,豫章館　松尾の丸　飫肥城歴史資料館　小村記念館　旧山本猪平家　商家資料館　旧高橋源次郎家,610,,,http://obijyo.com/,,,
97,鹿児島城,鹿児島県,鹿児島市,31.5983168,130.5528058,310,,,,,http://www.kagoshima-kankou.com/guide/12332/,,,
98,今帰仁城,沖縄県,今帰仁村,26.6912793,127.9268339,400,今帰仁村歴史文化センター,400,,,http://nakijinjoseki.jp/,,,
99,中城城,沖縄県,中城村,26.2835007,127.7974821,400,,,,,https://www.nakagusuku-jo.jp/,,,
100,首里城,沖縄県,那覇市,26.2170135,127.7173321,820,,,,,http://oki-park.jp/shurijo/,https://code4sabae.github.io/shirostamp100/img/building_syurijou.png,https://code4sabae.github.io/shirostamp100/icon/building_syurijou.png,
